"","actor1_missing_locations"
"245","Dyck Advisory Group"
"246","Nyatura Militia Group (FDP: People's Defense Forces)"
"247","Nyatura Militia Group (Domi)"
"248","Nyatura Militia Group (Bwite)"
"249","Militia (Ali Abdullahi Hussein)"
"250","Mayi Mayi Militia (Mulumba)"
"251","Kawariya Islamic Movement"
"252","Military Forces of the United States (2017-2021)"
"253","Military Forces of Niger (2011-2021)"
"254","Interahamwe Militia"
"255","Mayi Mayi Militia (Cmdt Jackson)"
"256","Militia (Chance)"
"257","UNAMID: United Nations/African Union Hybrid Operation in Darfur (2007-)"
"258","Mayi Mayi Militia (Raia Mutomboki-Blaise)"
"259","Mayi Mayi Militia (Kabeke)"
"260","Mayi Mayi Militia (Rushaba)"
"261","APRDC: Alliance of Patriots for the Restoration of Democracy in Congo"
"262","UNMISS: United Nations Mission in the Republic of South Sudan (2011-)"
"263","MPR: Patriotic Movement for the Republic"
"264","PNDS: Nigerien Party for Democracy and Socialism"
"265","Mayi Mayi Militia (Mayola)"
"266","Mayi Mayi Militia (Raia Mutomboki-Muteya)"
"267","Former FRELIMO: Liberation Front of Mozambique"
"268","UNISFA: United Nations Interim Security Force for Abyei (2011-)"
"269","NPP: National Patriotic Party"
"270","Police Forces of Ethiopia (2018-)"
"271","Mayi Mayi Militia (PARECO)"
"272","Mayi Mayi Militia (Kifuafua-Mbaenda)"
"273","Mayi Mayi Militia (Sikutu)"
"274","Mayi Mayi Militia (Raia Mutomboki-Kizamoto)"
"275","Nyatura Militia Group (Bohoza)"
"276","Ousoud Tajoura Brigade"
"277","NCP: National Congress Party"
"278","Vikosi Militia"
"279","MPC: Patriotic Movement for Central African Republic"
"280","CCM: Party of the Revolution"
"281","Military Forces of Egypt (2014-)"
"282","Militia (Pomba Solution)"
"283","Mayi Mayi Militia (Raia Mutomboki-Kikuni Jurist)"
"284","Militia (Pro-Government)"
"285","PDP: People's Democratic Party"
"286","Landguard Soldiers"
"287","Mayi Mayi Militia (Raia Mutomboki-Mungoro)"
"288","Mayi Mayi Militia (Raia Mutomboki-Shabani)"
"289","Mayi Mayi Militia (Hercule)"
"290","ZLP: Zenith Labour Party"
"291","G5S: G5 Sahel Force (2017-)"
"292","Misrata Martyrs Brigade"
"293","UPC: Union of Congolese Patriots"
"294","Bab al-Tajoura Brigade"
"295","Mayi Mayi Militia (Dragon)"
"296","ABMSM: Abahlali Basemjondolo Shack Dwellers Movement"
"297","MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-2020)"
"298","Mayi Mayi Militia (Union of Patriots for the Defense of the Innocents)"
"299","NDC: National Democratic Congress"
"300","UPLD: Union of Patriots for Liberation and Development"
"301","Mahjoub Brigade"
"302","PRNC: Party of the Rally of the Central African Nation"
"303","Mayi Mayi Militia (Front of Patriots for Peace)"
"304","Infantry Brigade 301"
"305","Sinai Tribal Union"
"306","Nyatura Militia Group (Mamba)"
"307","PFG: Petroleum Facilities Guard"
"308","Janzur Knights Brigade"
